iata,icao,state
GKA,AYGA,Port_Moresby
MAG,AYMD,Port_Moresby
HGU,AYMH,Port_Moresby
LAE,AYNZ,Port_Moresby
POM,AYPY,Port_Moresby
WWK,AYWK,Port_Moresby
UAK,BGBW,Godthab
GOH,BGGH,Godthab
SFJ,BGSF,Godthab
THU,BGTL,Thule
AEY,BIAR,Reykjavik
EGS,BIEG,Reykjavik
HFN,BIHN,Reykjavik
HZK,BIHU,Reykjavik
IFJ,BIIS,Reykjavik
KEF,BIKF,Reykjavik
PFJ,BIPA,Reykjavik
RKV,BIRK,Reykjavik
SIJ,BISI,Reykjavik
VEY,BIVM,Reykjavik
YAM,CYAM,Toronto
\N,CYAV,Winnipeg
\N,CYAW,Halifax
YAY,CYAY,St_Johns
YAZ,CYAZ,Vancouver
YBB,CYBB,Edmonton
YBC,CYBC,Toronto
YBG,CYBG,Toronto
YBK,CYBK,Winnipeg
YBL,CYBL,Vancouver
YBR,CYBR,Winnipeg
YCB,CYCB,Edmonton
YCD,CYCD,Vancouver
YCG,CYCG,Vancouver
YCH,CYCH,Halifax
YCL,CYCL,Halifax
YCO,CYCO,Edmonton
YCT,CYCT,Edmonton
YCW,CYCW,Vancouver
YCY,CYCY,Toronto
YZS,CYZS,Coral_Harbour
YDA,CYDA,Vancouver
YDB,CYDB,Vancouver
\N,CYDC,Vancouver
YDF,CYDF,St_Johns
YDL,CYDL,Vancouver
YDN,CYDN,Winnipeg
YDQ,CYDQ,Dawson_Creek
YEG,CYEG,Edmonton
YEK,CYEK,Winnipeg
YEN,CYEN,Regina
YET,CYET,Edmonton
YEU,CYEU,Winnipeg
YEV,CYEV,Edmonton
YFB,CYFB,Toronto
YFC,CYFC,Halifax
YFE,CYFE,Toronto
YFO,CYFO,Winnipeg
YFR,CYFR,Edmonton
YFS,CYFS,Edmonton
YGK,CYGK,Toronto
YGL,CYGL,Toronto
YGP,CYGP,Toronto
YGQ,CYGQ,Toronto
YGR,CYGR,Toronto
YHB,CYHB,Regina
YHD,CYHD,Winnipeg
YHI,CYHI,Edmonton
YHK,CYHK,Edmonton
YHM,CYHM,Toronto
YHU,CYHU,Toronto
YHY,CYHY,Edmonton
YHZ,CYHZ,Halifax
YIB,CYIB,Coral_Harbour
YIO,CYIO,Toronto
YJN,CYJN,Toronto
YJT,CYJT,St_Johns
YKA,CYKA,Vancouver
YKF,CYKF,Toronto
YKL,CYKL,Toronto
YKY,CYKY,Regina
YKZ,CYKZ,Toronto
YLD,CYLD,Toronto
YLJ,CYLJ,Regina
YLL,CYLL,Edmonton
YLT,CYLT,Toronto
YLW,CYLW,Vancouver
YMA,CYMA,Vancouver
YMJ,CYMJ,Regina
YMM,CYMM,Edmonton
YMO,CYMO,Toronto
YMW,CYMW,Toronto
YMX,CYMX,Toronto
YNA,CYNA,Toronto
YND,CYND,Toronto
YNM,CYNM,Toronto
YOC,CYOC,Vancouver
YOD,CYOD,Edmonton
YOJ,CYOJ,Edmonton
YOW,CYOW,Toronto
YPA,CYPA,Regina
YPE,CYPE,Edmonton
YPG,CYPG,Winnipeg
\N,CYPK,Vancouver
YPL,CYPL,Coral_Harbour
YPN,CYPN,Toronto
YPQ,CYPQ,Toronto
YPR,CYPR,Vancouver
YPY,CYPY,Edmonton
YQA,CYQA,Toronto
YQB,CYQB,Toronto
YQF,CYQF,Edmonton
YQG,CYQG,Toronto
YQH,CYQH,Vancouver
YQK,CYQK,Winnipeg
YQL,CYQL,Edmonton
YQM,CYQM,Halifax
YQQ,CYQQ,Vancouver
YQR,CYQR,Regina
YQT,CYQT,Toronto
YQU,CYQU,Edmonton
YQV,CYQV,Regina
YQW,CYQW,Regina
YQX,CYQX,St_Johns
YQY,CYQY,Halifax
YQZ,CYQZ,Vancouver
YRB,CYRB,Winnipeg
YRI,CYRI,Toronto
YRJ,CYRJ,Toronto
YRM,CYRM,Edmonton
YRT,CYRT,Winnipeg
YSB,CYSB,Toronto
YSC,CYSC,Toronto
YSJ,CYSJ,Halifax
YSM,CYSM,Edmonton
YSR,CYSR,Toronto
YSU,CYSU,Halifax
YSY,CYSY,Edmonton
YTE,CYTE,Toronto
YTH,CYTH,Winnipeg
YTR,CYTR,Toronto
YTS,CYTS,Toronto
YTZ,CYTZ,Toronto
YUB,CYUB,Edmonton
YUL,CYUL,Toronto
YUT,CYUT,Winnipeg
YUX,CYUX,Toronto
YUY,CYUY,Toronto
YVC,CYVC,Regina
YVG,CYVG,Edmonton
YVM,CYVM,Toronto
YVO,CYVO,Toronto
YVP,CYVP,Toronto
YVQ,CYVQ,Edmonton
YVR,CYVR,Vancouver
YVT,CYVT,Regina
YVV,CYVV,Toronto
YWA,CYWA,Toronto
YWG,CYWG,Winnipeg
YWK,CYWK,Halifax
YWL,CYWL,Vancouver
YWY,CYWY,Edmonton
YXC,CYXC,Edmonton
YXD,CYXD,Edmonton
YXE,CYXE,Regina
YXH,CYXH,Edmonton
YXJ,CYXJ,Dawson_Creek
YXL,CYXL,Winnipeg
YXP,CYXP,Toronto
YXR,CYXR,Toronto
YXS,CYXS,Vancouver
YXT,CYXT,Vancouver
YXU,CYXU,Toronto
