Draw Date,Multiplier,Winning Numbers,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6
4/20/2024,3,04 35 41 44 58 25,4,35,41,44,58,25
4/17/2024,2,24 29 44 47 54 02,24,29,44,47,54,2
4/15/2024,3,07 16 41 56 61 23,7,16,41,56,61,23
4/13/2024,5,07 33 40 43 69 10,7,33,40,43,69,10
4/10/2024,2,06 07 12 24 36 15,6,7,12,24,36,15
4/8/2024,2,06 21 23 39 54 23,6,21,23,39,54,23
4/6/2024,3,22 27 44 52 69 09,22,27,44,52,69,9
4/3/2024,3,11 38 41 62 65 15,11,38,41,62,65,15
4/1/2024,2,19 24 40 42 56 23,19,24,40,42,56,23
3/30/2024,3,12 13 33 50 52 23,12,13,33,50,52,23
3/27/2024,2,37 46 57 60 66 08,37,46,57,60,66,8
3/25/2024,2,07 11 19 53 68 23,7,11,19,53,68,23
3/23/2024,2,06 23 25 34 51 03,6,23,25,34,51,3
3/20/2024,2,13 22 27 54 66 09,13,22,27,54,66,9
3/18/2024,3,10 17 20 39 44 16,10,17,20,39,44,16
3/16/2024,2,12 23 44 57 61 05,12,23,44,57,61,5
3/13/2024,2,21 29 54 59 62 04,21,29,54,59,62,4
3/11/2024,5,01 03 07 16 66 05,1,3,7,16,66,5
3/9/2024,5,30 36 49 52 63 16,30,36,49,52,63,16
3/6/2024,2,06 19 28 44 60 10,6,19,28,44,60,10
3/4/2024,2,36 42 50 52 67 26,36,42,50,52,67,26
3/2/2024,2,03 18 27 36 53 12,3,18,27,36,53,12
2/28/2024,2,16 26 29 38 50 06,16,26,29,38,50,6
2/26/2024,3,24 29 42 51 54 16,24,29,42,51,54,16
2/24/2024,3,03 08 40 53 58 03,3,8,40,53,58,3
2/21/2024,2,04 27 33 41 42 14,4,27,33,41,42,14
2/19/2024,3,04 23 45 50 53 17,4,23,45,50,53,17
2/17/2024,3,06 28 59 62 69 21,6,28,59,62,69,21
2/14/2024,2,01 04 45 47 67 18,1,4,45,47,67,18
2/12/2024,2,17 36 43 53 67 14,17,36,43,53,67,14
2/10/2024,2,27 28 34 37 44 08,27,28,34,37,44,8
2/7/2024,3,12 21 62 67 69 17,12,21,62,67,69,17
2/5/2024,5,01 02 27 30 67 09,1,2,27,30,67,9
2/3/2024,3,09 11 27 59 66 19,9,11,27,59,66,19
1/31/2024,2,15 18 19 41 43 14,15,18,19,41,43,14
1/29/2024,2,39 41 43 49 64 04,39,41,43,49,64,4
1/27/2024,2,07 38 65 66 68 21,7,38,65,66,68,21
1/24/2024,4,01 05 32 50 64 08,1,5,32,50,64,8
1/22/2024,2,24 25 43 52 63 21,24,25,43,52,63,21
1/20/2024,3,16 31 34 47 65 10,16,31,34,47,65,10
1/17/2024,4,18 22 43 61 65 02,18,22,43,61,65,2
1/15/2024,3,13 30 35 49 59 04,13,30,35,49,59,4
1/13/2024,2,13 31 33 51 58 15,13,31,33,51,58,15
1/10/2024,2,25 40 43 48 50 11,25,40,43,48,50,11
1/8/2024,3,07 17 28 40 45 02,7,17,28,40,45,2
1/6/2024,2,04 31 34 38 61 13,4,31,34,38,61,13
1/3/2024,10,30 31 38 48 68 08,30,31,38,48,68,8
1/1/2024,3,12 21 42 44 49 01,12,21,42,44,49,1
12/30/2023,4,10 11 26 27 34 07,10,11,26,27,34,7
12/27/2023,3,04 11 38 51 68 05,4,11,38,51,68,5
12/25/2023,2,05 12 20 24 29 04,5,12,20,24,29,4
12/23/2023,3,09 14 17 18 53 06,9,14,17,18,53,6
12/20/2023,2,27 35 41 56 60 16,27,35,41,56,60,16
12/18/2023,3,05 08 19 34 39 26,5,8,19,34,39,26
12/16/2023,3,03 09 10 20 62 25,3,9,10,20,62,25
12/13/2023,2,03 08 41 56 64 18,3,8,41,56,64,18
12/11/2023,3,01 24 27 31 62 20,1,24,27,31,62,20
12/9/2023,2,05 25 26 40 60 01,5,25,26,40,60,1
12/6/2023,3,02 12 37 56 65 21,2,12,37,56,65,21
12/4/2023,3,18 19 27 28 45 09,18,19,27,28,45,9
12/2/2023,2,28 35 41 47 60 03,28,35,41,47,60,3
11/29/2023,2,06 47 50 61 68 04,6,47,50,61,68,4
11/27/2023,2,02 21 38 61 66 12,2,21,38,61,66,12
11/25/2023,2,27 33 63 66 68 09,27,33,63,66,68,9
11/22/2023,2,20 24 33 39 42 21,20,24,33,39,42,21
11/20/2023,2,19 26 30 39 63 13,19,26,30,39,63,13
11/18/2023,2,34 50 51 61 67 20,34,50,51,61,67,20
11/15/2023,3,03 04 51 53 60 06,3,4,51,53,60,6
11/13/2023,2,24 33 35 37 42 21,24,33,35,37,42,21
11/11/2023,4,01 12 14 24 57 07,1,12,14,24,57,7
11/8/2023,2,14 21 33 39 62 20,14,21,33,39,62,20
11/6/2023,2,12 25 40 59 61 26,12,25,40,59,61,26
11/4/2023,2,01 28 30 34 52 06,1,28,30,34,52,6
11/1/2023,3,22 26 39 47 63 12,22,26,39,47,63,12
10/30/2023,3,19 22 34 66 69 05,19,22,34,66,69,5
